date,open,high,low,close,adjusted_close,volume,ticker
2023-08-24,220.7,221.14,217.08,217.11,211.1561,3099433,VTI.US
2023-08-25,217.98,219.24,216.05,218.59,212.5955,3631038,VTI.US
2023-08-28,219.57,220.32,219.1,219.99,213.9571,2364716,VTI.US
2023-08-29,219.94,223.32,219.8,223.19,217.0693,3160291,VTI.US
2023-08-30,223.25,224.5,223.046,224.18,218.0322,2420846,VTI.US
2023-08-31,224.5,225.1785,223.88,223.94,217.7988,3043967,VTI.US
2023-09-01,225.34,225.78,223.96,224.68,218.5185,3047624,VTI.US
2023-09-05,224.26,224.64,223.28,223.34,217.2152,2531516,VTI.US
2023-09-06,222.99,223.18,220.75,221.94,215.8536,2473650,VTI.US
2023-09-07,220.38,221.5,220.08,221.18,215.1144,2964686,VTI.US
2023-09-08,221.21,222.176,220.98,221.42,215.3479,2244708,VTI.US
2023-09-11,222.66,223.04,221.95,222.81,216.6997,2087940,VTI.US
2023-09-12,222.14,222.97,221.4499,221.73,215.6494,2448512,VTI.US
2023-09-13,221.79,222.3,221.0992,221.76,215.6785,1989996,VTI.US
2023-09-14,222.85,223.98,222.34,223.66,217.5264,2002386,VTI.US
2023-09-15,222.89,222.92,220.76,221.03,214.9686,2639169,VTI.US
2023-09-18,220.91,221.685,220.55,221.05,214.988,2259567,VTI.US
2023-09-19,220.61,220.87,219.17,220.49,214.4434,2978021,VTI.US
2023-09-20,221.13,221.49,218.445,218.54,212.5468,2448369,VTI.US
2023-09-21,216.36,216.42,213.98,214.09,208.982,4194994,VTI.US
2023-09-22,214.68,215.3,213.4,213.64,208.5427,3262885,VTI.US
2023-09-25,213.15,214.5,212.75,214.5,209.3822,3440029,VTI.US
2023-09-26,213.06,213.43,211.01,211.41,206.3659,4371935,VTI.US
2023-09-27,212.12,212.46,209.8401,211.63,206.5807,4407264,VTI.US
2023-09-28,211.42,213.87,211.14,213.03,207.9473,2952364,VTI.US
2023-09-29,214.55,214.67,211.79,212.41,207.3421,4441367,VTI.US
2023-10-02,212.2,212.85,210.74,212.13,207.0687,4358137,VTI.US
2023-10-03,211.0,211.69,208.3299,209.05,204.0622,4389145,VTI.US
2023-10-04,209.23,210.89,208.4,210.56,205.5362,3045402,VTI.US
2023-10-05,210.38,210.86,208.78,210.45,205.4288,2679653,VTI.US
2023-10-06,209.06,213.775,208.57,212.96,207.8789,3666530,VTI.US
2023-10-09,211.91,214.65,211.755,214.3,209.187,2869741,VTI.US
2023-10-10,214.6,216.95,214.57,215.63,210.4852,3494612,VTI.US
2023-10-11,216.2,216.63,214.88,216.48,211.315,3033014,VTI.US
2023-10-12,216.63,216.715,213.53,214.74,209.6165,3244177,VTI.US
2023-10-13,215.53,216.01,212.75,213.53,208.4353,3269321,VTI.US
2023-10-16,214.73,216.46,214.56,216.01,210.8562,3361558,VTI.US
2023-10-17,214.37,217.38,214.17,216.29,211.1295,3627690,VTI.US
2023-10-18,215.11,215.63,212.59,213.09,208.0058,3254961,VTI.US
2023-10-19,213.4,214.35,210.69,211.08,206.0438,4322728,VTI.US
2023-10-20,210.86,211.05,208.38,208.47,203.4961,4447576,VTI.US
2023-10-23,207.67,209.97,206.66,207.9,202.9397,5472980,VTI.US
2023-10-24,209.07,210.21,208.12,209.47,204.4722,3180907,VTI.US
2023-10-25,208.45,208.535,206.0898,206.36,201.4364,3454535,VTI.US
2023-10-26,205.92,206.3599,203.63,204.22,199.3475,4133356,VTI.US
2023-10-27,205.0,205.11,202.44,203.12,198.2737,4290651,VTI.US
2023-10-30,204.53,205.98,203.76,205.46,200.5579,3562658,VTI.US
2023-10-31,205.63,206.995,204.82,206.79,201.8562,3325262,VTI.US
2023-11-01,207.14,209.22,206.87,208.86,203.8768,5789255,VTI.US
2023-11-02,210.85,213.11,210.85,213.01,207.9277,4111550,VTI.US
2023-11-03,214.32,216.2,214.27,215.41,210.2705,4217119,VTI.US
2023-11-06,215.83,216.066,214.47,215.5,210.3583,2915024,VTI.US
2023-11-07,215.38,216.5,214.9,216.14,210.9831,3194330,VTI.US
2023-11-08,216.34,216.72,215.0,216.11,210.9538,2813801,VTI.US
2023-11-09,216.63,216.78,214.06,214.27,209.1577,2771197,VTI.US
2023-11-10,215.1,217.61,214.45,217.46,212.2716,3303916,VTI.US
2023-11-13,216.81,217.8595,216.34,217.33,212.1447,2829434,VTI.US
2023-11-14,220.51,222.78,220.51,222.15,216.8497,4055052,VTI.US
2023-11-15,222.86,223.8,222.29,222.7,217.3866,2819245,VTI.US
2023-11-16,222.3,222.88,221.6034,222.55,217.2401,2754455,VTI.US
2023-11-17,222.866,223.44,222.42,223.11,217.7868,3124318,VTI.US
2023-11-20,223.11,225.25,223.0,224.79,219.4267,2876890,VTI.US
2023-11-21,224.25,224.43,223.61,224.18,218.8312,2513822,VTI.US
2023-11-22,224.85,225.76,224.53,225.14,219.7683,2880548,VTI.US
2023-11-24,225.04,225.44,225.01,225.38,220.0026,1219467,VTI.US
2023-11-27,225.12,225.53,224.77,225.09,219.7195,2409965,VTI.US
2023-11-28,224.77,225.905,224.45,225.23,219.8562,2761895,VTI.US
2023-11-29,226.38,227.19,225.11,225.33,219.9538,2653679,VTI.US
2023-11-30,225.73,226.385,224.82,226.26,220.8616,3147997,VTI.US
2023-12-01,225.99,228.33,225.585,228.17,222.726,4078686,VTI.US
2023-12-04,226.58,227.43,226.08,227.35,221.9256,3837805,VTI.US
2023-12-05,226.58,227.4535,226.205,226.91,221.4961,3019047,VTI.US
2023-12-06,227.89,228.1596,225.88,225.95,220.559,3172934,VTI.US
2023-12-07,226.99,228.05,226.71,227.76,222.3258,2724304,VTI.US
2023-12-08,227.36,229.09,227.27,228.85,223.3898,2740235,VTI.US
2023-12-11,228.69,229.83,228.51,229.79,224.3074,3076566,VTI.US
2023-12-12,229.59,230.7801,228.96,230.66,225.1566,3214921,VTI.US
2023-12-13,230.77,234.425,230.545,234.24,228.6512,4231060,VTI.US
2023-12-14,235.66,236.58,234.19,235.63,230.0081,5014530,VTI.US
2023-12-15,234.79,235.9387,234.63,235.31,229.6957,4298616,VTI.US
2023-12-18,235.86,236.815,235.82,236.33,230.6914,3855054,VTI.US
2023-12-19,236.72,238.095,236.72,238.06,232.3801,3731693,VTI.US
2023-12-20,237.74,238.69,234.44,234.51,228.9148,5149738,VTI.US
2023-12-21,235.08,236.17,234.06,236.09,231.446,4427026,VTI.US
2023-12-22,236.59,237.515,235.64,236.63,231.9754,3662383,VTI.US
2023-12-26,236.98,238.31,236.8559,237.8,233.1223,3829400,VTI.US
2023-12-27,238.0,238.44,237.47,238.25,233.5635,5103732,VTI.US
2023-12-28,238.25,238.7399,238.13,238.13,233.4459,4099416,VTI.US
2023-12-29,238.14,238.47,236.48,237.22,232.5538,4188762,VTI.US
2024-01-02,235.65,236.51,234.765,235.63,230.995,4847610,VTI.US
2024-01-03,234.53,234.735,233.11,233.37,228.7795,3925518,VTI.US
2024-01-04,233.26,234.55,232.66,232.77,228.1913,3681857,VTI.US
2024-01-05,232.7,234.39,232.4,233.12,228.5344,3305525,VTI.US
2024-01-08,233.27,236.56,233.26,236.45,231.7989,4156552,VTI.US
2024-01-09,235.151,236.56,234.74,236.01,231.3676,4524784,VTI.US
2024-01-10,236.12,237.6607,235.79,237.23,232.5636,3343377,VTI.US
2024-01-11,237.52,237.86,234.92,237.07,232.4067,3375598,VTI.US
2024-01-12,237.98,238.37,236.42,237.11,232.4459,3053406,VTI.US
2024-01-16,236.29,236.9102,235.1,236.01,231.3676,3646664,VTI.US
